trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1041,False,"{'a': 0.7, 'e': 0.988846323855623}",20,13,12.993157999006488,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1042,False,"{'a': 0.7, 'e': 0.852260787358054}",25,11,25.84705413479231,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1043,False,"{'a': 0.7, 'e': 0.31484368562390364}",20,13,12.597525580765405,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1044,False,"{'a': 0.7, 'e': 0.3706493210275394}",20,14,13.534895125634561,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1045,False,"{'a': 0.7, 'e': 0.8818201604443094}",30,18,23.19396400097672,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1046,False,"{'a': 0.7, 'e': 0.9782571995840008}",25,17,18.229029284176427,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1047,False,"{'a': 0.7, 'e': 0.6146045920689379}",25,0,38.132399079942836,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1048,False,"{'a': 0.7, 'e': 0.03810615855772877}",25,11,23.841276645099946,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1049,False,"{'a': 0.7, 'e': 0.6728949873896309}",20,1,31.35756757639982,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1050,False,"{'a': 0.7, 'e': 0.9912107893779389}",35,21,22.6149591032826,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1051,False,"{'a': 0.7, 'e': 0.8433446690259865}",30,11,35.067795079724554,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1052,False,"{'a': 0.7, 'e': 0.2988403732071236}",20,10,16.798730824855944,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1053,False,"{'a': 0.7, 'e': 0.3862132196406007}",30,14,31.820813846871832,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1054,False,"{'a': 0.7, 'e': 0.8896247005434126}",20,7,21.201487663814937,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1055,False,"{'a': 0.7, 'e': 0.9746317840112106}",25,15,19.387603696490334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1056,False,"{'a': 0.7, 'e': 0.601254310416856}",20,10,18.413175308545433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1057,False,"{'a': 0.7, 'e': 0.05490246022436146}",20,15,9.851648745130623,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
